id;desvionum;wheelson;wheelsoff
101;1;;2332
102;0;1008;628
102;1;;945
103;0;2031;1502
103;1;;2010
104;0;1209;930
104;1;;1119
105;0;;532
105;1;;
106;0;;1650
106;1;;
107;0;1016;652
107;1;;946
108;0;2114;1806
108;1;;2047
109;0;754;2059
109;1;;742
110;0;1810;1627
110;1;;1751
111;0;2135;1730
111;1;;2103
112;0;947;635
112;1;;923
113;0;2308;1545
113;1;;2228
114;0;2216;1645
114;1;;2007
115;0;2154;1609
115;1;;2033
116;0;2400;2020
116;1;;2329
117;0;1807;1514
117;1;;1749
118;0;1043;739
118;1;;1040
119;0;1025;750
119;1;;1005
120;0;;902
120;1;;
121;0;1029;725
121;1;;922
122;0;2143;1909
122;1;;2214
123;0;;1658
123;1;;
124;0;2312;1803
124;1;;2233
125;0;850;548
125;1;;818
126;0;2338;1754
126;1;;2229
127;0;2341;2106
127;1;;2253
128;0;1925;1716
129;0;1907;1704
130;0;1851;1704
131;0;1127;906
132;0;1138;914
133;0;1151;918
134;0;755;712
135;0;913;835
136;0;1423;1102
137;0;1444;1040
138;0;1423;1035
139;0;1238;745
140;0;1314;746
141;0;1140;930
142;0;1149;924
143;0;1128;912
144;0;1100;813
145;0;1047;814
146;0;1019;811
147;0;947;847
148;0;1327;1055
149;0;947;850
150;0;1358;1137
151;0;955;849
152;0;1402;1121
153;0;1302;1000
154;0;1258;947
155;0;1246;955
156;0;2123;1338
157;0;2123;1335
158;0;2133;1353
159;0;848;756
160;0;846;756
161;0;726;644
162;0;452;1625
163;0;503;1622
164;0;508;1630
165;0;925;655
166;0;858;639
167;0;910;636
168;0;842;745
169;0;1736;946
170;0;1805;1005
171;0;2100;1407
172;0;2122;1413
173;0;2200;1418
174;0;725;1917
175;0;720;1910
176;0;727;1921
177;0;607;10
178;0;546;13
179;0;554;13
180;0;1455;1251
181;0;1644;1552
182;0;825;743
183;0;1142;858
184;0;1436;1248
185;0;1640;1547
186;0;746;648
187;0;1413;904
188;0;1357;911
189;0;1437;927
190;0;1532;1317
191;0;1528;1250
192;0;1505;1246
193;0;2047;1756
194;0;2052;1823
195;0;2006;1754
196;0;2355;2242
197;0;1935;1834
198;0;1949;1837
199;0;1157;925
200;0;1206;937
201;0;1207;932
202;0;1601;1339
203;0;909;821
204;0;746;704
205;0;1644;907
206;0;1600;849
207;0;1623;850
208;0;819;609
209;0;1048;952
210;0;821;612
211;0;1110;1008
212;0;821;611
213;0;1038;943
214;0;1358;1053
215;0;1358;1050
216;0;849;807
217;0;1007;924
218;0;857;816
219;0;1006;925
220;0;719;628
221;0;855;621
222;0;947;627
223;0;846;612
224;0;1033;950
225;0;1741;1238
226;0;1846;1343
227;0;1051;1003
228;0;2053;1541
229;0;1255;1208
230;0;1549;1259
231;0;1613;1328
232;0;1607;1309
233;0;1117;924
234;0;1125;920
235;0;1138;932
236;0;1934;1845
237;0;1856;1811
238;0;1905;1823
239;0;1817;1449
240;0;1824;1454
241;0;655;620
242;0;819;736
243;0;1622;739
244;0;1525;748
245;0;1551;734
246;0;442;1700
247;0;443;1702
248;0;452;1711
249;0;2131;1346
250;0;2032;1312
251;0;2116;1329
252;0;1717;1621
253;0;1503;718
254;0;1713;1618
255;0;1417;708
256;0;1708;1608
257;0;1507;727
258;0;1659;1622
259;0;1644;1612
260;0;1632;1554
261;0;1322;1049
262;0;1324;1051
263;0;1359;1055
264;0;919;837
265;0;1315;1010
266;0;931;848
267;0;1312;1012
268;0;1509;1407
269;0;2159;1655
270;0;1352;1300
271;0;2254;1750
272;0;1351;1259
273;0;1503;1215
274;0;1519;1227
275;0;1459;1224
276;0;2325;2037
277;0;2140;1911
278;0;2130;1905
279;0;2140;1938
280;0;1811;1709
281;0;1802;1653
282;0;854;817
283;0;902;821
284;0;910;825
285;0;1852;1626
286;0;1848;1619
287;0;1923;1629
288;0;1522;1212
289;0;1636;1326
290;0;1513;1204
291;0;658;2241
292;0;711;2300
293;0;643;2248
294;0;849;802
295;0;1009;923
296;0;848;805
297;0;1213;1048
298;0;1013;929
299;0;850;808
300;0;726;640
301;0;1223;1053
302;0;1952;1034
303;0;1734;949
304;0;1756;955
305;0;548;1749
306;0;538;1748
307;0;531;1737
308;0;1759;1008
309;0;1637;904
310;0;1644;855
311;0;1613;1518
312;0;1610;1512
313;0;1541;1446
314;0;138;2303
315;0;2220;2141
316;0;2025;1812
317;0;2057;1826
318;0;2210;1929
319;0;954;911
320;0;1107;1032
321;0;827;733
322;0;2;1904
323;0;1735;1717
324;0;10;1914
325;0;1732;1718
326;0;1204;859
327;0;1153;851
328;0;1152;852
329;0;2036;1810
330;0;2013;1801
331;0;2017;1747
332;0;2010;1925
333;0;2030;1943
334;0;1612;822
335;0;1614;826
336;0;1736;957
337;0;1119;1137
338;0;1105;1011
339;0;923;841
340;0;1301;1217
341;0;1119;1134
342;0;1058;1008
343;0;925;842
344;0;1311;1225
345;0;807;702
346;0;2042;1224
347;0;1956;1156
348;0;2004;1148
349;0;531;2150
350;0;526;2145
351;0;555;2150
352;0;651;2309
353;0;646;2304
354;0;646;2303
355;0;48;2357
356;0;2221;2124
357;0;2212;2117
358;0;1627;1528
359;0;1823;1725
360;0;1815;1712
361;0;1052;902
362;0;1114;859
363;0;1111;908
364;0;;
365;0;1251;1207
366;0;1026;943
367;0;1147;1102
368;0;701;648
369;0;851;746
370;0;1409;1128
371;0;1430;1135
372;0;1427;1132
373;0;1147;856
374;0;1607;1334
375;0;1022;758
376;0;1610;909
377;0;1546;902
378;0;1555;911
379;0;2135;1354
380;0;2111;1341
381;0;2116;1337
382;0;1634;1549
383;0;1105;1032
384;0;1320;1248
385;0;949;909
386;0;1506;1421
387;0;1204;1147
388;0;1720;1635
389;0;1120;1043
390;0;1317;1248
391;0;948;905
392;0;1606;1520
393;0;1210;1152
394;0;737;520
395;0;1639;929
396;0;742;522
397;0;1702;929
398;0;749;517
399;0;1643;909
400;0;1636;901
401;0;1659;858
402;0;1741;1656
403;0;1618;1535
404;0;1610;1530
405;0;440;2100
406;0;504;2115
407;0;443;2059
408;0;1506;1341
409;0;1505;1345
410;0;1501;1339
411;0;1404;1140
412;0;33;1644
413;0;20;1616
414;0;2258;1447
415;0;1037;905
416;0;1035;942
417;0;1933;1231
418;0;1041;950
419;0;2016;1229
420;0;525;2124
421;0;457;2132
422;0;2337;1623
423;0;2300;1528
424;0;2326;1536
425;0;;
426;0;1945;1720
427;0;1950;1746
428;0;1111;2003
429;0;1111;2012
430;0;1100;2009
431;0;1305;1049
432;0;1235;1015
433;0;1229;1019
434;0;1319;1044
435;0;1304;1036
436;0;1324;1041
437;0;1100;1017
438;0;1418;1138
439;0;932;843
440;0;1728;1502
441;0;1058;1013
442;0;1451;1216
443;0;935;847
444;0;1741;1533
445;0;1804;1524
446;0;1812;1523
447;0;1756;1523
448;0;853;712
449;0;847;701
450;0;1332;1059
451;0;1434;1141
452;0;1339;1103
453;0;2124;1831
454;0;2118;1846
455;0;2101;1827
456;0;2034;1756
457;0;1939;1705
458;0;1940;1657
459;0;1842;1418
460;0;1837;1427
461;0;1824;1424
462;0;1912;1724
463;0;1813;1613
464;0;1748;1619
465;0;2102;1406
466;0;2040;1329
467;0;2036;1326
468;0;2158;1356
469;0;2218;1426
470;0;2144;1400
471;0;1056;1011
472;0;930;828
473;0;1325;1234
474;0;1153;1112
475;0;1534;1435
476;0;1348;1401
477;0;1223;1137
478;0;1054;1010
479;0;1459;1400
480;0;1249;1302
481;0;1413;1315
482;0;2235;1524
483;0;1402;1303
484;0;2259;1537
485;0;2100;1244
486;0;1945;1147
487;0;1955;1146
488;0;537;2139
489;0;549;2159
490;0;623;2220
491;0;1545;1505
492;0;1544;1503
493;0;1518;1440
494;0;1841;1031
495;0;1809;1034
496;0;1107;905
497;0;1213;1025
498;0;1217;1014
499;0;519;244
500;0;516;242
501;0;931;640
502;0;1621;1343
503;0;1252;713
504;0;2123;1832
505;0;2019;1739
506;0;2023;1749
507;0;1839;1625
508;0;1758;1618
509;0;1047;731
510;0;1045;732
511;0;1100;739
512;0;1610;1403
513;0;1705;1407
514;0;1543;1326
515;0;2243;2102
516;0;2237;2101
517;0;2347;1538
518;0;2328;1527
519;0;2319;1520
520;0;1141;1100
521;0;1120;1038
522;0;949;904
523;0;1737;1505
524;0;557;2216
525;0;559;2209
526;0;607;2204
527;0;1645;901
528;0;1634;852
529;0;1649;904
530;0;1453;1227
531;0;1417;1157
532;0;1423;1211
533;0;815;615
534;0;821;633
535;0;830;627
536;0;1415;707
537;0;1056;901
538;0;1059;859
539;0;1109;855
540;0;1125;1044
541;0;1502;1218
542;0;1741;1549
543;0;946;857
544;0;1121;1039
545;0;1440;1203
546;0;1807;1635
547;0;959;907
548;0;2319;2034
549;0;2304;2031
550;0;1419;1215
551;0;1207;1024
552;0;1348;1121
553;0;1327;1114
554;0;2157;1843
555;0;2157;1846
556;0;2138;1840
557;0;725;623
558;0;;
559;0;721;612
560;0;1843;1809
561;0;1738;1710
562;0;1737;1706
563;0;2114;1333
564;0;2040;1303
565;0;2056;1324
566;0;1021;949
567;0;1320;1233
568;0;1149;1106
569;0;2202;2059
570;0;1427;1100
571;0;1424;1058
572;0;1434;1055
573;0;149;1811
574;0;2342;1554
575;0;2341;1538
576;0;1354;846
577;0;1358;845
578;0;1427;906
579;0;1027;939
580;0;1042;953
581;0;1026;937
582;0;1013;740
583;0;1003;740
584;0;1008;738
585;0;1148;926
586;0;1149;931
587;0;1214;923
588;0;1029;938
589;0;1154;1107
590;0;1311;1226
591;0;1022;935
592;0;1154;1111
593;0;1306;1224
594;0;920;709
595;0;927;646
596;0;920;641
597;0;20;2153
598;0;2223;1959
599;0;2147;1948
600;0;1309;1034
601;0;1039;822
602;0;1056;856
603;0;2250;2004
604;0;2139;1910
605;0;2141;1902
606;0;1530;1331
607;0;1521;1320
608;0;1523;1326
609;0;2226;1411
610;0;2220;1414
611;0;2154;1402
612;0;806;732
613;0;1216;845
614;0;2019;1138
615;0;1614;841
616;0;1619;823
617;0;1738;1410
618;0;2306;1529
619;0;2335;1531
620;0;1737;1234
621;0;1901;1342
622;0;2001;1439
623;0;;
624;0;2345;2305
625;0;2335;2253
626;0;1111;851
627;0;1251;1208
628;0;1124;906
629;0;1409;1339
630;0;831;642
631;0;1252;1209
632;0;1131;908
633;0;1408;1335
634;0;831;640
635;0;1128;910
636;0;1140;901
637;0;1118;850
638;0;708;2249
639;0;1831;1544
640;0;1755;1542
641;0;1754;1557
642;0;1647;1430
643;0;1614;1414
644;0;1628;1409
645;0;1519;1408
646;0;1503;1357
647;0;1512;1401
648;0;1406;1346
649;0;1441;1444
650;0;1249;1208
651;0;1123;1040
652;0;1857;1702
653;0;1612;1531
654;0;1347;1329
655;0;1430;1434
656;0;;
657;0;1124;1040
658;0;1902;1705
659;0;1614;1528
660;0;1238;1035
661;0;829;737
662;0;839;743
663;0;839;742
664;0;1546;806
665;0;1614;801
666;0;638;2302
667;0;703;2312
668;0;720;2315
669;0;1634;1550
670;0;1746;1652
671;0;1913;1845
672;0;1902;1832
673;0;1911;1840
674;0;1109;851
675;0;1122;901
676;0;1132;851
677;0;2001;1753
678;0;1321;1239
679;0;1656;1407
680;0;1204;1115
681;0;2007;1749
682;0;1340;1256
683;0;1703;1423
684;0;1157;1111
685;0;1950;1749
686;0;1032;757
687;0;1134;843
688;0;1024;742
689;0;1137;838
690;0;1118;847
691;0;1123;847
692;0;917;642
693;0;;
694;0;916;639
695;0;1947;1128
696;0;1236;1211
697;0;1202;1134
698;0;1219;1150
699;0;2206;1358
700;0;2139;1336
701;0;2135;1341
702;0;1453;1403
703;0;1509;1420
704;0;1333;1250
705;0;1018;938
706;0;856;731
707;0;1207;1100
708;0;1419;1355
709;0;602;2150
710;0;1601;1058
711;0;1707;1140
712;0;1722;1150
713;0;923;710
714;0;1000;746
715;0;915;708
716;0;1700;1544
717;0;1235;1009
718;0;1229;1006
719;0;1233;1012
720;0;1048;812
721;0;1347;1305
722;0;1510;1426
723;0;1224;1136
724;0;936;847
725;0;1057;1011
726;0;804;651
727;0;;
728;0;;1641
728;1;;
729;0;1223;1134
730;0;928;846
731;0;1053;1005
732;0;2100;1838
733;0;1848;1550
734;0;1801;1555
735;0;857;726
736;0;1125;1027
737;0;910;717
738;0;1147;1050
739;0;910;725
740;0;1125;1025
741;0;1338;1239
742;0;1356;1257
743;0;1337;1236
744;0;2247;2220
745;0;2247;2221
746;0;2305;2235
747;0;1619;1620
748;0;1225;1152
749;0;1536;1440
750;0;1728;1659
751;0;1355;1312
752;0;1923;1821
753;0;1613;1617
754;0;1225;1151
755;0;1536;1445
756;0;1731;1659
757;0;1404;1322
758;0;1934;1836
759;0;22;1650
760;0;100;1657
761;0;2016;1242
762;0;2012;1243
763;0;2008;1241
764;0;34;2233
765;0;2136;1911
766;0;2100;1904
767;0;2254;2215
768;0;2258;2215
769;0;2309;2227
770;0;1305;1046
771;0;1253;1038
772;0;1323;1045
773;0;1419;1336
774;0;1746;1504
775;0;1520;1437
776;0;1827;1555
777;0;8;2138
778;0;2303;2101
779;0;1448;1351
780;0;1228;1056
781;0;1500;1404
782;0;1158;1053
783;0;1452;1357
784;0;2030;1741
785;0;2030;1825
786;0;2113;1916
787;0;1848;1746
788;0;1516;1434
789;0;1523;1441
790;0;1017;1024
791;0;912;624
792;0;1005;1017
793;0;841;619
794;0;1048;1056
795;0;853;622
796;0;2243;1437
797;0;2258;1455
798;0;2222;1438
799;0;1718;1633
800;0;1533;1454
801;0;1357;1314
802;0;1552;1507
803;0;1424;1341
804;0;1300;1215
805;0;1633;1436
806;0;1745;1643
807;0;1927;1822
808;0;737;5
809;0;801;15
810;0;758;2355
811;0;513;124
812;0;1453;711
813;0;533;123
814;0;1449;711
815;0;508;53
816;0;1519;715
817;0;2342;2251
818;0;2345;2254
819;0;1904;1827
820;0;1748;1704
821;0;1718;1645
822;0;1328;1237
823;0;1453;1409
824;0;1150;1000
825;0;1911;1546
826;0;1324;1235
827;0;1452;1408
828;0;1149;1001
829;0;1921;1546
830;0;918;648
831;0;804;617
832;0;800;607
833;0;652;2247
834;0;700;2246
835;0;650;2238
836;0;1045;819
837;0;1101;814
838;0;1102;825
839;0;1955;1652
840;0;29;2143
841;0;1936;1657
842;0;2344;2125
843;0;1923;1648
844;0;2348;2126
845;0;1340;1115
846;0;1339;1123
847;0;1351;1118
848;0;1825;1131
849;0;1836;1146
850;0;1840;1140
851;0;2144;2113
852;0;1945;1618
853;0;2206;2137
854;0;2108;1740
855;0;2140;2109
856;0;1938;1616
857;0;1324;1204
858;0;1458;1415
859;0;1329;1202
860;0;1455;1413
861;0;1735;1640
862;0;2242;1423
863;0;2132;1343
864;0;2152;1341
865;0;1412;1212
866;0;1349;1140
867;0;1343;1147
868;0;1830;1705
869;0;1857;1714
870;0;1820;1656
871;0;912;847
872;0;907;835
873;0;912;845
874;0;1208;1049
875;0;1520;1439
876;0;1646;1602
877;0;1348;1300
878;0;1223;1055
879;0;1518;1435
880;0;1647;1602
881;0;1349;1258
882;0;1602;1515
883;0;2;2255
884;0;2046;1947
885;0;2057;1941
886;0;1434;1335
887;0;1427;1330
888;0;1438;1333
889;0;1701;1610
890;0;1516;1437
891;0;1349;1250
892;0;1138;957
893;0;1653;1606
894;0;1532;1449
895;0;1408;1256
896;0;1208;1013
897;0;2033;1258
898;0;2027;1255
899;0;2008;1257
900;0;627;2244
901;0;725;2326
902;0;732;2316
903;0;1948;1855
904;0;1957;1857
905;0;1804;917
906;0;1617;837
907;0;1626;826
908;0;1445;1200
909;0;1552;1253
910;0;1434;1142
911;0;1208;1109
912;0;1213;1111
913;0;1214;1115
914;0;1615;1546
915;0;1653;1622
916;0;1703;1634
917;0;1135;824
918;0;1141;821
919;0;1141;825
920;0;1117;1014
921;0;1559;1515
922;0;1711;1638
923;0;924;812
924;0;1422;1347
925;0;1312;1155
926;0;1116;1022
927;0;1551;1509
928;0;1708;1634
929;0;929;807
930;0;1441;1405
931;0;1330;1217
932;0;1111;923
933;0;1102;920
934;0;1118;923
935;0;1920;1718
936;0;2133;2040
937;0;1913;1734
938;0;2125;2027
939;0;305;28
940;0;2313;2052
941;0;2331;2048
942;0;1930;1825
943;0;1939;1838
944;0;1933;1839
945;0;1813;1154
946;0;1908;1302
947;0;1820;1155
948;0;1932;1706
949;0;2015;1742
950;0;2015;1753
951;0;2350;1531
952;0;2351;1532
953;0;2400;1543
954;0;1546;1508
955;0;1427;1344
956;0;1551;1509
957;0;1426;1344
958;0;531;2205
959;0;902;706
960;0;1239;743
961;0;1241;746
962;0;;
963;0;2206;2113
964;0;2153;2103
965;0;1626;1435
966;0;1616;1406
967;0;1826;1609
968;0;1729;1651
969;0;1750;1644
970;0;1730;1650
971;0;1657;1612
972;0;2033;1740
973;0;1519;1430
974;0;1617;1537
975;0;1946;1707
976;0;1442;1358
977;0;928;706
978;0;847;633
979;0;931;700
980;0;1508;1324
981;0;1521;1342
982;0;1608;1407
983;0;1620;1526
984;0;1625;1530
985;0;1857;1648
986;0;1526;1405
987;0;1527;1404
988;0;1937;1719
989;0;1106;842
990;0;1036;816
991;0;1108;839
992;0;1643;1412
993;0;1609;1353
994;0;1640;1414
995;0;1547;1425
996;0;1552;1428
997;0;1610;1448
998;0;1455;1312
999;0;1802;1713
1000;0;1614;1535
1001;0;1450;1303
1002;0;1803;1717
1003;0;1633;1550
1004;0;451;2126
1005;0;601;2257
1006;0;1753;1245
1007;0;1747;1252
1008;0;1453;1405
1009;0;1451;1401
1010;0;1438;1351
1011;0;1737;1616
1012;0;1745;1617
1013;0;1220;1038
1014;0;1226;1041
1015;0;1247;1037
1016;0;1223;1018
1017;0;1312;1106
1018;0;1249;1017
1019;0;1717;1629
1020;0;1354;1009
1021;0;1526;1435
1022;0;;
1023;0;1345;956
1024;0;1527;1432
1025;0;1510;1342
1026;0;1504;1335
1027;0;1458;1325
1028;0;1059;909
1029;0;1117;915
1030;0;1122;916
1031;0;2040;1914
1032;0;2024;1902
1033;0;;
1034;0;1644;1550
1035;0;1649;1537
1036;0;1101;941
1037;0;1101;940
1038;0;1106;942
1039;0;2320;1516
1040;0;2304;1505
1041;0;2245;1502
1042;0;1525;1453
1043;0;1828;1748
1044;0;1648;1609
1045;0;1922;1910
1046;0;1526;1452
1047;0;1820;1739
1048;0;1657;1611
1049;0;1918;1900
1050;0;1937;1829
1051;0;846;717
1052;0;2031;1121
1053;0;1903;1117
1054;0;1927;1120
1055;0;1724;1644
1056;0;1924;1839
1057;0;1736;1650
1058;0;1000;803
1059;0;1028;822
1060;0;1019;818
1061;0;1451;1053
1062;0;1441;1044
1063;0;1531;1100
1064;0;1724;1641
1065;0;1558;1340
1066;0;1850;1807
1067;0;753;727
1068;0;1801;1540
1069;0;;
1070;0;1505;1231
1071;0;1116;1017
1072;0;1151;957
1073;0;1126;926
1074;0;1139;935
1075;0;821;713
1076;0;811;710
1077;0;1215;949
1078;0;822;736
1079;0;1206;954
1080;0;818;733
1081;0;1210;947
1082;0;823;734
1083;0;1826;1607
1084;0;1843;1602
1085;0;1844;1559
1086;0;1855;1452
1087;0;1829;1429
1088;0;1843;1432
1089;0;1848;1826
1090;0;1918;1924
1091;0;1726;1647
1092;0;1548;1438
1093;0;1334;1051
1094;0;2155;2024
1095;0;1852;1835
1096;0;1936;1939
1097;0;1745;1703
1098;0;1622;1502
1099;0;1402;1050
1100;0;2142;2009
1101;0;852;2234
1102;0;842;2224
1103;0;903;2301
1104;0;1930;1233
1105;0;1051;919
1106;0;1929;1244
1107;0;1113;1019
1108;0;1926;1235
1109;0;1122;1026
1110;0;1018;922
1111;0;1000;901
1112;0;1158;1117
1113;0;1229;1148
1114;0;1154;1112
1115;0;1110;905
1116;0;1240;1045
1117;0;1124;912
1118;0;1805;1721
1119;0;1913;1841
1120;0;1452;1110
1121;0;1620;1529
1122;0;1017;936
1123;0;1754;1709
1124;0;1936;1902
1125;0;1508;1128
1126;0;1622;1537
1127;0;1023;941
1128;0;1458;1207
1129;0;1500;1208
1130;0;1516;1212
1131;0;1912;1735
1132;0;1905;1744
1133;0;;1334
1133;1;;
1134;0;1329;1226
1135;0;1317;1217
1136;0;351;129
1137;0;2242;2027
1138;0;2242;2014
1139;0;1841;1148
1140;0;1825;1150
1141;0;1856;1203
1142;0;2041;1331
1143;0;2036;1325
1144;0;2059;1350
1145;0;2109;1330
1146;0;2055;1320
1147;0;2059;1335
1148;0;1938;1846
1149;0;1748;1709
1150;0;1629;1546
1151;0;1943;1853
1152;0;;
1153;0;;
1154;0;541;2235
1155;0;720;10
1156;0;802;31
1157;0;2056;1319
1158;0;2107;1324
1159;0;2125;1346
1160;0;1639;906
1161;0;736;605
1162;0;1556;915
1163;0;1632;934
1164;0;;
1165;0;1520;1422
1166;0;1506;1407
1167;0;1858;1657
1168;0;1915;1724
1169;0;1733;1702
1170;0;1752;1700
1171;0;1731;1701
1172;0;1907;1825
1173;0;2242;1946
1174;0;1716;1634
1175;0;1856;1812
1176;0;2232;1935
1177;0;1724;1645
1178;0;1131;912
1179;0;1139;925
1180;0;1230;955
1181;0;1402;1056
1182;0;1413;1102
1183;0;2017;1912
1184;0;1948;1849
1185;0;2007;1907
1186;0;1117;844
1187;0;702;607
1188;0;1052;833
1189;0;1055;815
1190;0;715;611
1191;0;2003;1721
1192;0;1924;1652
1193;0;1948;1708
1194;0;1330;618
1195;0;1327;618
1196;0;1319;617
1197;0;1418;700
1198;0;1414;702
1199;0;1417;708
1200;0;1949;1905
1201;0;1816;1736
1202;0;1511;1324
1203;0;1655;1553
1204;0;2008;1925
1205;0;1822;1739
1206;0;1520;1316
1207;0;1656;1556
1208;0;438;2104
1209;0;430;2100
1210;0;2154;1517
1211;0;1349;1300
1212;0;2219;1518
1213;0;1335;1246
1214;0;2238;2144
1215;0;2156;2057
1216;0;2151;2056
1217;0;1307;1112
1218;0;1324;1124
1219;0;1256;1107
1220;0;2202;2026
1221;0;2114;1942
1222;0;2057;1918
1223;0;1958;1915
1224;0;2116;2033
1225;0;1838;1752
1226;0;1859;1814
1227;0;2025;1942
1228;0;1719;1633
1229;0;1616;1406
1230;0;1613;1341
1231;0;1557;1345
1232;0;710;2240
1233;0;658;2235
1234;0;2154;2009
1235;0;2123;1927
1236;0;2111;1932
1237;0;755;708
1238;0;;705
1238;1;;
1239;0;701;616
1240;0;400;122
1241;0;2154;1925
1242;0;2209;1923
1243;0;2051;2003
1244;0;2016;1927
1245;0;1835;1342
1246;0;1843;1354
1247;0;1847;1348
1248;0;2020;1934
1249;0;1729;1558
1250;0;1854;1815
1251;0;2109;2022
1252;0;1813;1641
1253;0;1942;1900
1254;0;544;2214
1255;0;603;2225
1256;0;640;2303
1257;0;1022;852
1258;0;1232;1148
1259;0;1051;857
1260;0;1044;857
1261;0;931;849
1262;0;;
1263;0;844;800
1264;0;1531;1301
1265;0;1455;1238
1266;0;1437;1238
1267;0;1412;1409
1268;0;1938;1854
1269;0;2254;2017
1270;0;1807;1717
1271;0;1638;1508
1272;0;1408;1416
1273;0;;
1274;0;2248;2017
1275;0;1757;1707
1276;0;1609;1458
1277;0;1456;1245
1278;0;1422;1234
1279;0;1917;1657
1280;0;1850;1624
1281;0;1858;1629
1282;0;1933;1229
1283;0;1001;916
1284;0;1905;1219
1285;0;1006;922
1286;0;2307;1603
1287;0;1558;1510
1288;0;1733;1647
1289;0;1557;1519
1290;0;1351;1126
1291;0;1328;1054
1292;0;1402;1129
1293;0;2104;1953
1294;0;2109;1945
1295;0;2117;1956
1296;0;2019;2002
1297;0;2049;2056
1298;0;1923;1843
1299;0;1803;1718
1300;0;2034;2017
1301;0;2057;2059
1302;0;1930;1848
1303;0;1812;1725
1304;0;1135;851
1305;0;1139;855
1306;0;2208;1340
1307;0;1423;706
1308;0;1502;724
1309;0;;
1310;0;2247;2032
1311;0;2236;2033
1312;0;1736;1329
1313;0;1730;1336
1314;0;1821;1411
1315;0;2138;1437
1316;0;2109;1413
1317;0;2113;1418
1318;0;1955;1909
1319;0;2313;2030
1320;0;1827;1736
1321;0;1948;1906
1322;0;2301;2022
1323;0;1829;1733
1324;0;1341;1230
1325;0;1346;1243
1326;0;123;1810
1327;0;1459;1412
1328;0;2353;1650
1329;0;1458;1413
1330;0;56;1657
