iata;airport;city;state;lat;lon
EQA;Captain Jack Thomas;El Dorado;KS;3777410833;-9681762778
EQY;Monroe;Monroe;NC;3501884306;-8062023444
ERI;Erie Intl;Erie;PA;4208202139;-8017621556
ERV;Kerrville Muni/Louis Schreiner;Kerrville;TX;29976735;-9908567972
ERY;Luce County Hale;Newberry;MI;4631118694;-8545731639
ESC;Delta County;Escanaba;MI;4572266972;-8709373139
ESF;Esler Regional;Alexandria;LA;313949025;-9229577194
ESN;Easton /Newnam;Easton;MD;3880416667;-76069
EST;Estherville Municipal;Estherville;IA;4340744444;-9474641667
ETB;West Bend Municipal;West Bend;WI;4342219444;-8812792667
ETC;Edgecombe County;Tarboro;NC;3593710083;-7754663833
ETH;Wheaton Municipal;Wheaton;MN;4578046056;-9654353972
ETN;Eastland Municipal;Eastland;TX;3241349167;-9880975667
EUF;Weedon;Eufaula;AL;3195131917;-85128925
EUG;Mahlon Sweet;Eugene;OR;4412326;-1232186856
EUL;Caldwell Industrial;Caldwell (Boise);ID;4364186111;-1166357778
EVB;New Smyrna Beach Municipal;New Smyrna Beach;FL;2905580556;-8094836111
EVM;Eveleth-Virginia Muni;Eveleth;MN;4742507778;-9249846944
EVU;Maryville Memorial;Maryville;MO;4035260167;-9491552722
EVV;Evansville Regional;Evansville;IN;3803799139;-8753062667
EVW;Evanston-Uinta County Burns;Evanston;WY;4127494528;-1110321286
EVY;Summit Airpark;Middletown;DE;3952038889;-7572044444
EWB;New Bedford Municipal;New Bedford;MA;4167614167;-7095694167
EWK;Newton-City-County;Newton;KS;3805710528;-9727522861
EWN;Craven County Regional;New Bern;NC;3507297222;-7704294444
EWR;Newark Intl;Newark;NJ;4069249722;-7416866056
EWU;Newtok;Newtok;AK;6093865417;-1646412147
EXI;Excursion Inlet SPB;Excursion Inlet;AK;5842049861;-1354490328
EXX;Davidson County;Lexington;NC;3578114028;-8030378194
EYE;Eagle Creek Airpark;Indianapolis;IN;3983070944;-8629438056
EYW;Key West International;Key West;FL;2455611111;-8175955556
EZI;Kewanee Municipal;Kewanee;IL;4120520361;-8996386
EZM;Eastman-Dodge County;Eastman;GA;3221425;-8312802778
EZZ;Cameron Memorial;Cameron;MO;3972755972;-94276375
F00;Jones;Bonham;TX;3361172222;-9617938889
F01;Quanah Municipal;Quanah;TX;3427708306;-9975926861
F05;Vernon - Wilbarger County;Vernon;TX;3422566806;-9928375
F06;Marian Airpark;Wellington;TX;3484561083;-1001959481
F08;Eufaula Municipal;Eufaula;OK;3529593194;-9562526417
F10;Henryetta Municipal;Henryetta;OK;3540687972;-9601583278
F12;Rusk County;Henderson;TX;3214172222;-9485172222
F17;Center Municipal;Center;TX;3183158333;-9415641667
F18;Cleburne Municipal;Cleburne;TX;3235376389;-9743375
F21;Memphis Municipal;Memphis;TX;3473958944;-1005297008
F22;Perry Municipal;Perry;OK;3638559583;-9727721083
F24;Minden-Webster;Minden;LA;3264601;-9329808556
F28;El Reno Municipal;El Reno;OK;3547163639;-9800599444
F29;Clarence E. Page Municipal;Oklahoma City;OK;354880825;-9782354556
F30;Sulphur Municipal;Sulphur;OK;3452453278;-9698973944
F31;Lake Texoma State Park;Kingston;OK;3399287639;-9664249722
F32;Healdton Municipal;Healdton;OK;3424925806;-9747391306
F36;Cordell Municipal;Cordell;OK;3530421917;-9896702167
F37;Wauchula Municipal;Wauchula;FL;2751364889;-8188063917
F39;Grayson County;Sherman/Denison;TX;3371411111;-9667366667
F41;Ennis Municipal;Ennis;TX;3232969444;-9666388889
F44;Athens Jones Municipal;Athens;TX;3216384778;-9582835306
F45;North Palm Beach County General Aviation;West Palm Beach;FL;2684537306;-8022148111
F46;Rockwall Municipal;Rockwall;TX;3293059444;-9643548556
F49;Slaton Municipal;Slaton;TX;3348481;-1016607158
F51;Winnsboro Municipal;Winnsboro;TX;3293884556;-9527886083
F53;Franklin County;Mount Vernon;TX;3321530583;-952374925
F55;Granbury Municipal;Granbury;TX;3244441583;-978169475
F56;Arledge;Stamford;TX;3291019472;-9973422972
F70;French Valley;Murieta/Temecula;CA;3357605556;-1171279722
F80;Atoka Municipal;Atoka;OK;3439833889;-9614805972
F81;Okemah Flying;Okemah;OK;3542925306;-9628778361
F84;Stigler Municipal;Stigler;OK;3528910556;-9509389722
F85;Morton-Cochran County;Morton;TX;3372926389;-1027338183
F87;Farmerville;Farmerville;LA;3272495583;-9233716583
F88;Jonesboro;Jonesboro;LA;3220199028;-9273293028
F89;Winnsboro Municipal;Winnsboro;LA;3215431917;-9170012472
F91;Thomas P Stafford;Weatherford;OK;3554482944;-9866849028
F99;Holdenville Municipal;Holdenville;OK;35085875;-9641666667
FAI;Fairbanks International;Fairbanks;AK;648136775;-1478596694
FAM;Farmington Regional;Farmington;MO;3776107917;-9042859722
FAQ;Fitiuta;Fitiuta Village;AS;1421577583;-1694239058
FAR;Hector International;Fargo;ND;4691934889;-9681498889
FAT;Fresno Yosemite International;Fresno;CA;3677619444;-1197181389
FAY;Fayetteville Municipal;Fayetteville;NC;3499147222;-7888
FBL;Faribault Municipal;Faribault;MN;4432468556;-9331082889
FBR;Fort Bridger;Fort Bridger;WY;4139193583;-1104067961
FBY;Fairbury Municipal;Fairbury;NE;4018297222;-9716927778
FCA;Glacier Park Intl;Kalispell;MT;4831140472;-1142550694
FCH;Fresno-Chandler Downtown;Fresno;CA;36732365;-1198198961
FCI;Chesterfield County;Richmond;VA;374065375;-7752498667
FCM;Flying Cloud;Minneapolis;MN;4482724111;-9345714639
FCY;Forrest City Municipal;Forrest City;AR;3494199806;-9077496611
FDK;Frederick Municipal;Frederick;MD;3941758333;-7737430556
FDR;Frederick Municipal;Frederick;OK;3435219472;-9898460222
FDW;Fairfield County;Winnsboro;SC;3431547222;-8110880556
FDY;Findlay;Findlay;OH;4101352778;-8366869444
FEP;Albertus;Freeport;IL;4224626722;-8958223944
FET;Fremont Municipal;Fremont;NE;4144913889;-9652019444
FFA;First Flight;Kill Devil Hills;NC;3601822278;-7567128694
FFC;Peachtree City - Falcon;Atlanta;GA;3335725;-8457183333
FFL;Fairfield Municipal;Fairfield;IA;4105332417;-9197892333
FFM;Fergus Falls Muni-Einar Mickelson;Fergus Falls;MN;4628439389;-9615668556
FFT;Capital City;Frankfort;KY;3818248861;-8490470083
FFZ;Falcon;Mesa;AZ;3346083333;-1117283333
FGX;Fleming-Mason;Flemingsburg;KY;3854180556;-8374338889
FHR;Friday Harbor;Friday Harbor;WA;4852197222;-1230243611
FHU;Libby AAF-Sierra Vista Municipal;Fort Huachuca-Sierra Vista;AZ;3158847222;-1103443889
FIG;Clearfield-Lawrence;Clearfield;PA;4104861306;-7841310306
FIT;Fitchburg Municipal;Fitchburg;MA;4255412194;-7175895639
FKL;Chess-Lamberton;Franklin;PA;4137787361;-7986036167
FKN;Franklin Municipal-John Beverly Rose;Franklin;VA;3669817806;-7690312694
FKR;Frankfort Municipal;Frankfort;IN;4027343083;-8656217028
FLD;Fond Du Lac County;Fond Du Lac;WI;4377117417;-8848842917
FLG;Flagstaff Pulliam;Flagstaff;AZ;3513845472;-1116712183
FLL;Fort Lauderdale-Hollywood Int'l;Ft. Lauderdale;FL;2607258333;-8015275
FLO;Florence Regional;Florence;SC;3418536111;-7972388889
FLP;Marion County Regional;Flippin;AR;3629087528;-9259023417
FLT;Flat;Flat;AK;6245264889;-15798907
FLX;Fallon Municipal;Fallon;NV;39499545;-1187490197
FME;Tipton;Odenton;MD;3908538667;-7675941444
FMN;Four Corners Regional;Farmington;NM;3674125;-1082299444
FMY;Page;Ft. Myers;FL;2658661111;-8186325
FMZ;Fairmont State;Fairmont;NE;4058569444;-9757305556
FNB;Brenner;Falls City;NE;4007878611;-9559199167
FNL;Fort Collins-Loveland;Fort Collins/Loveland;CO;4045182722;-1050113356
FNR;Funter Bay SPB;Funter Bay;AK;5825438583;-1348979067
FNT;Bishop;Flint;MI;4296550333;-8374345639
FOA;Flora;Flora;IL;3866494528;-8845299556
FOD;Fort Dodge Municipal;Fort Dodge;IA;4255145611;-9419255111
FOE;Forbes;Topeka;KS;3895095194;-9566361444
FOK;Francis Gabreski;Westhampton Beach;NY;4084365472;-7263178917
FOT;Rohnerville;Fortuna;CA;4055393583;-1241326589
FPR;St. Lucie County International;Ft. Pierce;FL;2749505556;-8036827778
FQD;Rutherford County-Marchman;Rutherfordton;NC;3542822222;-8193507778
FRG;Republic;Farmingdale;NY;4072878111;-7341340722
FRH;French Lick Municipal;French Lick;IN;3850622139;-8663693528
FRM;Fairmont Municipal;Fairmont;MN;4364394111;-9441561556
FRR;Front Royal-Warren County;Front Royal;VA;389175325;-7825351472
FSD;Joe Foss;Sioux Falls;SD;4358135111;-9674170028
FSE;Fosston Municipal;Fosston;MN;4759282028;-9577349889
FSK;Fort Scott Municipal;Fort Scott;KS;3779843056;-9476938111
FSM;Fort Smith Regional;Fort Smith;AR;3533659028;-9436744111
FSO;Franklin County State;Highgate;VT;4494028083;-7309746
FST;Fort Stockton - Pecos County;Fort Stockton;TX;3091566667;-1029161389
FSU;Fort Sumner Municipal;Fort Sumner;NM;3448339944;-1042171967
FSW;Fort Madison Municipal;Fort Madison;IA;406592625;-913268175
FTG;Front Range;Denver;CO;3978525;-1045431389
FTT;Elton Hensley Memorial;Fulton;MO;3883987472;-9200421056
FTW;Fort Worth Meacham International;Fort Worth;TX;3281977778;-9736244444
FTY;Fulton County - Brown;Atlanta;GA;3377913889;-8452136111
FUL;Fullerton Municipal;Fullerton;CA;3387201417;-1179797842
FVE;Northern Aroostook Regional;Frenchville;ME;4728550417;-6831275
FVX;Farmville Municipal;Farmville;VA;3735752861;-7843779806
FWA;Fort Wayne International;Fort Wayne;IN;4097846583;-8519514639
FWC;Fairfield Municipal;Fairfield;IL;3837863306;-8841265222
FWN;Sussex;Sussex;NJ;4120020667;-7462305056
FWS;Spinks;Fort Worth;TX;3256522778;-9730807778
FXE;Fort Lauderdale Executive;Ft. Lauderdale;FL;2619728;-8017070833
FXY;Forest City Municipal;Forest City;IA;4323473417;-936241025
FYE;Fayette County;Somerville;TN;3520592;-8939441667
FYM;Fayetteville Municipal;Fayetteville;TN;3505836278;-8656441139
FYU;Fort Yukon;Fort Yukon;AK;6657149028;-1452504169
FYV;Fayetteville Municipal;Fayetteville;AR;3600509472;-9417005694
FZG;Fitzgerald Municipal;Fitzgerald;GA;3168368667;-8327046056
FZI;Fostoria Metropolitan;Fostoria;OH;4119083111;-8339453639
FZY;Oswego Cty;Fulton;NY;4335077528;-7638805361
GAB;Gabbs;Gabbs;NV;3892409111;-1179590072
GAD;Gadsden Municipal;Gadsden;AL;3397262528;-8608900139
GAF;Grafton Municipal;Grafton;ND;4840469444;-9737094444
GAG;Gage;Gage;OK;3629553889;-9977642361
GAI;Montgomery Co Airpark;Gaithersburg;MD;3916833611;-77166
GAL;Edward G. Pitka Sr.;Galena;AK;6473617806;-1569374164
GAM;Gambell;Gambell;AK;6376676556;-1717328236
GAS;Gallia - Meigs Regional;Gallipolis;OH;3883410833;-8216342306
GBD;Great Bend Municipal;Great Bend;KS;3834441861;-9885917028
GBG;Galesburg Municipal;Galesburg;IL;4093800194;-9043112556
GBH;Galbraith Lake;Galbraith Lake;AK;6847906306;-1494900214
GBR;Great Barrington;Great Barrington;MA;4218421417;-7340324056
GCC;Gillette-Campbell County;Gillette;WY;4434889806;-1055393614
GCK;Garden City Regional;Garden City;KS;3792751556;-1007244147
GCM;Claremore Regional;Claremore;OK;3629441667;-9547966667
GCN;Grand Canyon National Park;Grand Canyon;AZ;3595235389;-1121469647
GCT;Guthrie County Regional;Guthrie Center;IA;4168776417;-9443524611
GCY;Greeneville Municipal;Greeneville;TN;3619299083;-8281507028
GDM;Gardner Municipal;Gardner;MA;4254986639;-7201602194
GDV;Dawson Community;Glendive;MT;4713871861;-1048071994
GDW;Gladwin;Gladwin;MI;4397063278;-8447503861
GDY;Grundy Municipal;Grundy;VA;3723240111;-8212499083
GED;Sussex Cty Arpt;Georgetown;DE;3868919444;-7535888889
GEG;Spokane Intl;Spokane;WA;4761985556;-1175338425
GEO;Brown County;Georgetown;OH;3888195778;-8388273278
GEU;Glendale Municipal;Glendale;AZ;3352726278;-1122951564
GEY;South Big Horn County;Greybull;WY;4451644444;-1080831944
GEZ;Shelbyville Municipal;Shelbyville;IN;3958316583;-8580481
GFK;Grand Forks International;Grand Forks;ND;47949255;-9717611111
GFL;Floyd D. Bennett;Glens Falls;NY;4334121;-736103075
GFZ;Greenfield Municipal;Greenfield;IA;4132702778;-9444572222
GGE;Georgetown County;Georgetown;SC;3331169444;-7931958333
GGF;Grant Municipal;Grant;NE;4086952778;-1017328611
GGG;Gregg County;Longview;TX;3238486111;-9471171
GGI;Grinnell Municipal;Grinnell;IA;4170916083;-9273491278
GGP;Logansport Municipal;Logansport;IN;4071126139;-8637449917
GGW;Wokal Field/Glasgow Intl;Glasgow;MT;4821246417;-1066148231
GHM;Centerville Municipal;Centerville;TN;3583742722;-87445375
GHW;Glenwood Municipal;Glenwood;MN;4564389167;-9532043056
GIF;Winter Havens Gilbert;Winter Haven;FL;2806291667;-8175330556
GJT;Walker;Grand Junction;CO;391224125;-1085267347
GKJ;Port Meadville;Meadville;PA;4162652667;-802147275
GKN;Gulkana;Gulkana;AK;6215488889;-1454566389
GKT;Gatlinburg-Pigeon Forge;Sevierville;TN;3585775889;-8352870472
GKY;Arlington Municipal;Arlington;TX;3266241528;-9709391139
GLD;Renner Field/Goodland Municipal;Goodland;KS;3937062194;-1016989919
GLE;Gainesville Municipal;Gainesville;TX;3365136111;-9719702778
GLH;Mid Delta Regional;Greenville;MS;3348288111;-9098561389
GLR;Otsego County;Gaylord;MI;4501354806;-8470318944
GLS;Galveston-Scholes;Galveston;TX;2926532333;-9486040667
GLW;Glasgow Municipal;Glasgow;KY;3703205556;-8595261111
GLY;Clinton Memorial;Clinton;MO;3835657306;-9368417694
GMJ;Grove Municipal;Grove;OK;3660527056;-9473856667
GMU;Greenville Downtown;Greenville;SC;3484794444;-8235
GNB;Granby-Grand County;Granby;CO;4008970806;-1059172367
GNF;Grenada Municipal;Grenada;MS;3383253;-8979822806
GNG;Gooding Municipal;Gooding;ID;4291716639;-1147651575
GNT;Grants-Milan Municipal;Grants;NM;3516531472;-1079006142
GNU;Goodnews;Goodnews;AK;5911727556;-1615813967
GNV;Gainesville Regional;Gainesville;FL;2969005556;-8227177778
GOK;Guthrie Municipal;Guthrie;OK;3584980556;-9741560833
GON;Groton-New London;Groton;CT;4133005778;-7204513556
GPH;Clay County Regional;Mosby;MO;3933046528;-9430997361
GPM;Grand Prairie Municipal;Grand Prairie;TX;3269858333;-9704652778
GPT;Gulfport-Biloxi Regional;Gulfport-Biloxi;MS;3040728028;-8907009278
GPZ;Grand Rapids-Itasca County;Grand Rapids;MN;4721110333;-9350984472
GQQ;Galion Municipal;Galion;OH;4075338889;-8272380556
GRB;Austin Straubel International;Green Bay;WI;4448507333;-8812959
GRD;Greenwood County;Greenwood;SC;3424872222;-8215908333
GRE;Greenville;Greenville;IL;3883615778;-8937841111
GRI;Central Nebraska Regional;Grand Island;NE;4096747222;-9830861111
GRK;Robert Gray AAF;Killeen;TX;3106489778;-9782779778
GRN;Gordon Municipal;Gordon;NE;4280597222;-10217525
GRO;Rota International;Rota Island;CQ;141743075;-1452425353
GRR;Kent County International;Grand Rapids;MI;4288081972;-8552276778
GSH;Goshen Municipal;Goshen;IN;4152716028;-8579210278
GSN;Saipan International;Obyan;CQ;1511900139;-1457293561
GSO;Piedmont Triad International;Greensboro;NC;3609774694;-799372975
GSP;Greenville-Spartanburg;Greer;SC;3489566722;-8221885833
GST;Gustavus;Gustavus;AK;5842438139;-1357073814
GTF;Great Falls Intl;Great Falls;MT;4748200194;-1113706853
GTR;Golden Triangle Regional;Columbus-Starkville-West Point;MS;3345033444;-8859136861
