Estadio	Ciudad	Comunidad	Inauguración	Capacidad	Equipo	Capacidad
Sánchez Pizjuán	Sevilla	  Andalucía	1958	45500	Sevilla FC	45500
Balear	Palma de Mallorca	  Islas Baleares	1959	17000	CD Atlético Baleares	17 000
Carlos Belmonte	Albacete	  Castilla-La Mancha	1959	16400	Albacete Balompié	16 400
Olímpic de Terrassa	Tarrasa	  Cataluña	1959	10500	Terrassa Olímpica 2009	10 500
El Plantío	Burgos	  Castilla y León	1963	11200	Burgos CF	11 200
Foietes	Benidorm	  C. Valenciana	1963	5000	Benidorm CF	5 000
Nou Camp de Inca	Inca	  Islas Baleares	1963	9000	CD Constancia	9 000
Pepico Amat	Elda	  C. Valenciana	1963	7000	CD Eldense	7 000
Municipal de Deportes	Barbastro	  Aragón	1965	4000	UD Barbastro	4 000
El Sadar	Pamplona	  Navarra	1966	18800	CA Osasuna	18 800
Guillermo Olagüe	Gandía	  C. Valenciana	1966	5000	CF Gandía	5 000
Nova Creu Alta	Sabadell	  Cataluña	1966	10981	CE Sabadell FC	10 981
Pedro Escartín	Guadalajara	  Castilla-La Mancha	1966	4000	CD Guadalajara	4 000
Vicente Calderón	Madrid	  C. de Madrid	1966	54851	Club Atlético de Madrid	54851
Alberto Fernández	Aguilar de Campoo	  Castilla y León	1967	5000	CD Aguilar	5 000
Ciudad Deportiva de Lanzarote	Arrecife	  Canarias	1967	6000	CD Orientación Marítima y UD Lanzarote	6 000
Ciudad de Tudela	Tudela	  Navarra	1968	10000	CD Tudelano	10 000
Ciudad de Valencia	Valencia	  C. Valenciana	1968	24354	Levante UD	24 354
Estadio Municipal de La Línea de la Concepción	La Línea de la Concepción	  Andalucía	1968	19000	RB Linense	19 000
Chamorro Martínez	Martos	  Andalucía	1969	4500	Martos CD	4 500
Helmántico	Villares de la Reina	  Castilla y León	1969	16341	Desocupado	16 341
Municipal de Montilivi	Gerona	  Cataluña	1969	8500	Girona FC	8 500
Narcís Sala	Barcelona	  Cataluña	1969	5550	UE Sant Andreu	5 550
Nou Estadi	Tarragona	  Cataluña	1970	13500	Club Gimnàstic de Tarragona	13 500
Vicente García	Torrevieja	  C. Valenciana	1970	5000	FC Torrevieja	5 000
El Alcoraz	Huesca	  Aragón	1971	4700	SD Huesca	4 700
José del Cuvillo	El Puerto de Santa María	  Andalucía	1971	7600	RC Portuense	7 600
Municipal de Lucena	Lucena	  Andalucía	1971	6000	Lucena CF	6000
Municipal Navalmoral de la Mata	Navalmoral de la Mata	  Extremadura	1971	4000	Moralo CP	4 000
Nuevo Estadio	Zafra	  Extremadura	1971	4000	CD Díter Zafra	4 000
Luis Suñer Picó	Alcira	  C. Valenciana	1972	7104	UD Alzira	7 104
Salto del Caballo	Toledo	  Castilla-La Mancha	1972	4300	CD Toledo	4 300
Ángel Carro	Lugo	  Galicia	1973	6840	C.D. Lugo	6 840
José Rico Pérez	Alicante	  C. Valenciana	1973	28500	Hércules CF	28500
O Couto	Orense	  Galicia	1973	4625	CD Ourense	4 625
Municipal de Marbella	Marbella	  Andalucía	1974	6300	UD Marbella	6 300
Adolfo Suárez	Ávila	  Castilla y León	1975	5000	Real Ávila CF	5 000
Estadio de Vallecas	Madrid	  C. de Madrid	1975	13708	Rayo Vallecano	13 708
Juan Rojas	Almería	  Andalucía	1975	12000	"UD Almería ""B"""	12 000
Polideportivo Municipal Almansa	Almansa	  Castilla-La Mancha	1975	4500	UD Almansa	4 500
El Montecillo	Aranda de Duero	  Castilla y León	1976	5000	Arandina CF	5 000
La Albuera	Segovia	  Castilla y León	1976	5500	Gimnástica Segoviana CF	5 500
Martínez Valero	Elche	  C. Valenciana	1976	36017	Elche CF	36017
Nou Camp de Sa Pobla	La Puebla	  Islas Baleares	1976	7000	UD Poblense	7 000
Príncipe Felipe	Cáceres	  Extremadura	1976	6000	CP Cacereño	6 000
Camp Nou Municipal	Reus	  Cataluña	1977	4000	Club de Futbol Reus Deportiu	4 000
Santo Domingo de Alcorcón	Alcorcón	  C. de Madrid	1977	4000	AD Alcorcón	4 000
El Maulí	Antequera	  Andalucía	1980	6000	Antequera CF	6 000
Estadio Municipal de Montilla	Montilla	  Andalucía	1980	4000	Montilla CF	4 000
José Zorrilla	Valladolid	  Castilla y León	1981	25512	Real Valladolid CF	25 512
Mini Estadi	Barcelona	  Cataluña	1981	14276	"FC Barcelona ""B"""	14 276
Nuevo San Bartolomé	Mairena del Alcor	  Andalucía	1981	5000	CD Mairena	5 000
Polideportivo Municipal Pozoblanco	Pozoblanco	  Andalucía	1982	6500	CD Pozoblanco	6 500
Mundial 81	Catarroja	  C. Valenciana	1983	4000	Catarroja CF	4 000
Municipal de San Miguel	Úbeda	  Andalucía	1985	7000	Úbeda CF	7 000
San Pablo	Ecija	  Andalucía	1985	5000	Écija Balompié	5 000
Castalia	Castellón de la Plana	  C. Valenciana	1986	15000	CD Castellón	15 000
Cartagonova	Cartagena	  R. de Murcia	1987	14105	FC Cartagena	14 105
Chapín	Jerez de la Frontera	  Andalucía	1987	19486	Xerez Deportivo FC	19 486
El Sardinero	Santander	  Cantabria	1987	21222	Real Racing Club de Santander	21 222
Antonio Domínguez Alfonso	Los Cristianos	  Canarias	1991	6500	CD Marino	6 500
Iberoamericano 2009	San Fernando	  Andalucía	1991	7000	San Fernando CD	7 000
Romero Cuerda	Villanueva de la Serena	  Extremadura	1991	5000	CF Villanovense	5 000
A Malata	Ferrol	  Galicia	1992	11043	Racing Club de Ferrol	11 043
El Arcángel	Córdoba	  Andalucía	1992	20822	Córdoba CF	20 822
San Lázaro	Santiago de Compostela	  Galicia	1992	12000	SD Compostela	12 000
Anoeta	San Sebastián	  País Vasco	1993	32076	Real Sociedad	32076
Nou Municipal	Santa Coloma de Gramanet	  Cataluña	1993	4000	UDA Gramenet	4 000
La Bòbila	Gavá	  Cataluña	1994	4000	CF Gavà	4 000
Los Cármenes	Granada	  Andalucía	1994	22524	Granada CF	22 524
Nou Sardenya	Barcelona	  Cataluña	1994	6000	CE Europa	6 000
Butarque	Leganés	  C. de Madrid	1996	7000	CD Leganés	7 000
Coliseum Alfonso Pérez	Getafe	  C. de Madrid	1997	16000	Getafe CF	16 000
Nuevo Vivero	Badajoz	  Extremadura	1997	14598	CD Badajoz y Badajoz CF	14 598
Olímpico de La Cartuja	Sevilla	  Andalucía	1997	60000	Desocupado	60000
Estadi de la Feixa Llarga	Hospitalet de Llobregat	  Cataluña	1998	5740	CE L´Hospitalet	5 740
Iberostar Estadi	Palma de Mallorca	  Islas Baleares	1998	22142	RCD Mallorca	22 142
Nuevo Los Pajaritos	Soria	  Castilla y León	1998	8025	CD Numancia	8 025
Estadio Nuevo Mirador	Algeciras	  Andalucía	1998	6500	Algeciras CF	6 500
Nuevo Román Suárez Puerta	Avilés	  P. de Asturias	1998	4500	Real Avilés CF	4 500
El Toralín	Ponferrada	  Castilla y León	1999	7200	SD Ponferradina	7 200
Carlos Tartiere	Oviedo	  P. de Asturias	2000	30500	Real Oviedo	30500
Ciudad Deportiva del RCD Español	San Adrián de Besós	  Cataluña	2000	5000	"RCD Español ""B"""	5 000
La Juventud	Jerez de la Frontera	  Andalucía	2000	4000	Jerez Industrial CF	4 000
La Victoria	Jaén	  Andalucía	2000	11600	Real Jaén CF	11 600
Nuevo Lasesarre	Baracaldo	  País Vasco	2000	6960	Barakaldo CF	6 960
Nuevo Colombino	Huelva	  Andalucía	2000	20349	RC Recreativo de Huelva	20 349
Reino de León	León	  Castilla y León	2000	12451	Cultural y Deportiva Leonesa	12 451
Santo Domingo	El Ejido	  Andalucía	2000	6870	Desocupado	6 870
Virgen de las Nieves	Santa Cruz de la Palma	  Canarias	2000	4500	SD Tenisca	4 500
Ciudad Deportiva del Villarreal CF	Villarreal	  C. Valenciana	2001	4100	"Villarreal CF ""B"""	4 100
Las Gaunas	Logroño	  La Rioja	2001	15000	SD Logroñés y UD Logroñés	15 000
Ruta de la Plata	Zamora	  Castilla y León	2001	6813	Zamora CF	6 813
Artés Carrasco	Lorca	  R. de Murcia	2002	7120	CF Lorca Deportiva	7 120
Gran Canaria	Las Palmas de Gran Canaria	  Canarias	2003	31250	UD Las Palmas	31250
Juegos Mediterráneos	Almería	  Andalucía	2003	21000	UD Almería	21 000
Antonio Peroles	Roquetas de Mar	  Andalucía	2004	8000	CD Roquetas	8 000
Ciudad Real Madrid	Madrid	  C. de Madrid	2004	5000	"Real Madrid ""C"""	5 000
Nueva Balastera	Palencia	  Castilla y León	2005	12499	CF Palencia	12 499
Artunduaga	Basauri	  País Vasco	2006	4000	CD Basconia	4 000
Ciudad de Ayamonte	Ayamonte	  Andalucía	2006	4200	Ayamonte CF	4 200
Ciudad Deportiva Municipal	San Vicente de Alcántara	  Extremadura	2006	4000	CP Sanvicenteño	4 000
Nueva Condomina	Murcia	  R. de Murcia	2006	31179	Real Murcia	31179
Ciudad de Puertollano	Puertollano	  Castilla-La Mancha	2009	7000	CD Puertollano	7 000
Cornellá-El Prat	Cornellá y El Prat de Llobregat	  Cataluña	2009	40500	RCD Español	40500
San Mamés	Bilbao	  País Vasco	2013	53332	Athletic Club	53332
"Olímpico de Madrid" En remodelación"	Madrid	  C. de Madrid	2016	67500	Club Atlético de Madrid	67500
Ciudad Deportiva	Olivenza	  Extremadura	-1	4000	Olivenza CP	4 000
Ciudad Deportiva Plasencia	Plasencia	  Extremadura	-1	4500	UP Plasencia	4 500
Como Eiroas	Carballo	  Galicia	-1	4000	Bergantiños FC	4 000
Compostilla	Ponferrada	  Castilla y León	-1	5023	"SD Ponferradina ""B"""	5 023
Constantino Navarro	Baza	  Andalucía	-1	4000	CD Baza	4 000
El Olivar	Piedrabuena	  Castilla-La Mancha	-1	4000	CD Piedrabuena	4 000
Estadio Baltar	Portonovo	  Galicia	-1	4000	Portonovo SD	4 000
Gazituaga	Zamudio	  País Vasco	-1	4000	Zamudio SD	4 000
Isidro Calderón	Monzón	  Aragón	-1	4000	Club Atlético de Monzón	4 000
La Aldehuela	Fuenlabrada	  C. de Madrid	-1	4000	CF Fuenlabrada	4 000
Los Corrales	Los Corrales de Buelna	  Cantabria	-1	4500	SD Buelna	4 500
Manuel Calzado Galván	Jerez de los Caballeros	  Extremadura	-1	4000	Jerez CF	4 000
Municipal	Tazacorte	  Canarias	-1	4000	CD Victoria	4 000
Municipal de Alcázar	Alcázar de San Juan	  Castilla-La Mancha	-1	4000	CF Gimnástico de Alcázar	4 000
Nou Municipal de Palamós	Palamós	  Cataluña	-1	5000	Palamós CF	5 000
Nuevo Silvestre Carrillo	Santa Cruz de La Palma	  Canarias	-1	5000	CD Mensajero	5 000
Orellana	Ribadesella	  P. de Asturias	-1	4000	Ribadesella CF	4 000
Santa Ana	Utebo	  Aragón	-1	4000	Utebo FC	4 000
