Estadio;Ciudad;Comunidad;Inauguracion;Capacidad;Equipo;Capacidad
Butarque;Leganes;C. de Madrid;1996;7000;CD Leganes;7 000
Coliseum Alfonso Perez;Getafe;C. de Madrid;1997;16000;Getafe CF;16 000
Nuevo Vivero;Badajoz;Extremadura;1997;14598;CD Badajoz y Badajoz CF;14 598
Olimpico de La Cartuja;Sevilla;Andalucia;1997;60000;Desocupado;60000
Estadi de la Feixa Llarga;Hospitalet de Llobregat;Cataluna;1998;5740;CE L´Hospitalet;5 740
Iberostar Estadi;Palma de Mallorca;Islas Baleares;1998;22142;RCD Mallorca;22 142
Nuevo Los Pajaritos;Soria;Castilla y Leon;1998;8025;CD Numancia;8 025
Estadio Nuevo Mirador;Algeciras;Andalucia;1998;6500;Algeciras CF;6 500
Nuevo Roman Suarez Puerta;Aviles;P. de Asturias;1998;4500;Real Aviles CF;4 500
El Toralin;Ponferrada;Castilla y Leon;1999;7200;SD Ponferradina;7 200
Carlos Tartiere;Oviedo;P. de Asturias;2000;30500;Real Oviedo;30500
Ciudad Deportiva del RCD Espanol;San Adrian de Besos;Cataluna;2000;5000;"RCD Espanol ""B""";5 000
La Juventud;Jerez de la Frontera;Andalucia;2000;4000;Jerez Industrial CF;4 000
La Victoria;Jaen;Andalucia;2000;11600;Real Jaen CF;11 600
Nuevo Lasesarre;Baracaldo;Pais Vasco;2000;6960;Barakaldo CF;6 960
Nuevo Colombino;Huelva;Andalucia;2000;20349;RC Recreativo de Huelva;20 349
Reino de Leon;Leon;Castilla y Leon;2000;12451;Cultural y Deportiva Leonesa;12 451
Santo Domingo;El Ejido;Andalucia;2000;6870;Desocupado;6 870
Virgen de las Nieves;Santa Cruz de la Palma;Canarias;2000;4500;SD Tenisca;4 500
Ciudad Deportiva del Villarreal CF;Villarreal;C. Valenciana;2001;4100;"Villarreal CF ""B""";4 100
Las Gaunas;Logrono;La Rioja;2001;15000;SD Logrones y UD Logrones;15 000
Ruta de la Plata;Zamora;Castilla y Leon;2001;6813;Zamora CF;6 813
Artes Carrasco;Lorca;R. de Murcia;2002;7120;CF Lorca Deportiva;7 120
Gran Canaria;Las Palmas de Gran Canaria;Canarias;2003;31250;UD Las Palmas;31250
Juegos Mediterraneos;Almeria;Andalucia;2003;21000;UD Almeria;21 000
Antonio Peroles;Roquetas de Mar;Andalucia;2004;8000;CD Roquetas;8 000
Ciudad Real Madrid;Madrid;C. de Madrid;2004;5000;"Real Madrid ""C""";5 000
Nueva Balastera;Palencia;Castilla y Leon;2005;12499;CF Palencia;12 499
Artunduaga;Basauri;Pais Vasco;2006;4000;CD Basconia;4 000
Ciudad de Ayamonte;Ayamonte;Andalucia;2006;4200;Ayamonte CF;4 200
Ciudad Deportiva Municipal;San Vicente de Alcantara;Extremadura;2006;4000;CP Sanvicenteno;4 000
Nueva Condomina;Murcia;R. de Murcia;2006;31179;Real Murcia;31179
Ciudad de Puertollano;Puertollano;Castilla-La Mancha;2009;7000;CD Puertollano;7 000
Cornella-El Prat;Cornella y El Prat de Llobregat;Cataluna;2009;40500;RCD Espanol;40500
San Mames;Bilbao;Pais Vasco;2013;53332;Athletic Club;53332
"Olimpico de Madrid" En remodelacion";Madrid;C. de Madrid;2016;67500;Club Atletico de Madrid;67500
Ciudad Deportiva;Olivenza;Extremadura;-1;4000;Olivenza CP;4 000
Ciudad Deportiva Plasencia;Plasencia;Extremadura;-1;4500;UP Plasencia;4 500
Como Eiroas;Carballo;Galicia;-1;4000;Bergantinos FC;4 000
Compostilla;Ponferrada;Castilla y Leon;-1;5023;"SD Ponferradina ""B""";5 023
Constantino Navarro;Baza;Andalucia;-1;4000;CD Baza;4 000
El Olivar;Piedrabuena;Castilla-La Mancha;-1;4000;CD Piedrabuena;4 000
Estadio Baltar;Portonovo;Galicia;-1;4000;Portonovo SD;4 000
Gazituaga;Zamudio;Pais Vasco;-1;4000;Zamudio SD;4 000
Isidro Calderon;Monzon;Aragon;-1;4000;Club Atletico de Monzon;4 000
La Aldehuela;Fuenlabrada;C. de Madrid;-1;4000;CF Fuenlabrada;4 000
Los Corrales;Los Corrales de Buelna;Cantabria;-1;4500;SD Buelna;4 500
Manuel Calzado Galvan;Jerez de los Caballeros;Extremadura;-1;4000;Jerez CF;4 000
Municipal;Tazacorte;Canarias;-1;4000;CD Victoria;4 000
Municipal de Alcazar;Alcazar de San Juan;Castilla-La Mancha;-1;4000;CF Gimnastico de Alcazar;4 000
Nou Municipal de Palamos;Palamos;Cataluna;-1;5000;Palamos CF;5 000
Nuevo Silvestre Carrillo;Santa Cruz de La Palma;Canarias;-1;5000;CD Mensajero;5 000
Orellana;Ribadesella;P. de Asturias;-1;4000;Ribadesella CF;4 000
Santa Ana;Utebo;Aragon;-1;4000;Utebo FC;4 000
